Шаг,Точное_Среднее,Оценка_Среднее,Сигма,Нижняя_Граница,Верхняя_Граница
1000,993.1,3442.58,5.55596,3437.02,3448.14
2000,1974.7,3976.76,8.70578,3968.05,3985.46
3000,2949,4555.6,12.3345,4543.27,4567.94
4000,3920.5,5166.57,18.346,5148.22,5184.91
5000,4888.7,5832.66,29.6206,5803.04,5862.28
6000,5855.8,6539.79,31.6024,6508.19,6571.4
7000,6821.3,7282.15,54.4505,7227.7,7336.6
8000,7789,8066.33,46.4923,8019.84,8112.83
9000,8755.3,8880.67,61.9318,8818.74,8942.6
10000,9719.8,9701.01,112.517,9588.49,9813.52
11000,10684.5,10542.4,157.278,10385.1,10699.7
12000,11647.8,11394.5,186.601,11207.9,11581.1
13000,12614.1,12267.9,176.045,12091.9,12443.9
14000,13574.4,13151.6,195.083,12956.5,13346.7
15000,14533.7,14039.5,258.106,13781.4,14297.6
16000,15498.8,14961.5,276.915,14684.6,15238.4
17000,16461.8,15858.8,292.404,15566.4,16151.2
18000,17425.4,16746.8,326.164,16420.7,17073
19000,18389.7,17647,362.899,17284.1,18009.9
20000,19351.4,18607.9,399.213,18208.7,19007.1
21000,20315.3,19573.9,355.025,19218.9,19929
22000,21276.2,20515.3,336.311,20179,20851.6
23000,22240,21417.7,386.867,21030.8,21804.6
24000,23200.5,22415.7,350.918,22064.8,22766.6
25000,24163.8,23345.3,352.031,22993.3,23697.4
26000,25124,24195.5,358.058,23837.4,24553.5
27000,26083.5,25126.8,315.544,24811.3,25442.4
28000,27045.1,26095.2,302.185,25793,26397.4
29000,28005.9,27032,341.552,26690.4,27373.5
30000,28965,28001.2,409.844,27591.4,28411.1
31000,29923.8,28922.3,440.946,28481.4,29363.2
32000,30882.5,29861.2,479.301,29381.9,30340.5
33000,31844.4,30776.3,489.072,30287.2,31265.4
34000,32806.6,31615.4,472.796,31142.6,32088.2
35000,33765.6,32556.3,499.019,32057.2,33055.3
36000,34725.2,33503.8,519.616,32984.2,34023.4
37000,35682.6,34415.1,541.852,33873.2,34956.9
38000,36639.9,35295.4,586.419,34709,35881.8
39000,37596.5,36178.3,616.03,35562.3,36794.3
40000,38552.4,37140,664.635,36475.4,37804.6
41000,39510.6,38077.9,638.309,37439.6,38716.2
42000,40468.5,38947.6,742.988,38204.7,39690.6
43000,41424.3,39907.2,781.25,39125.9,40688.4
44000,42376.1,40920.2,802.305,40117.8,41722.5
45000,43331.5,41860.2,783.259,41076.9,42643.4
46000,44291.5,42756.6,825.839,41930.7,43582.4
47000,45249.2,43658.1,821.744,42836.3,44479.8
48000,46206.5,44555.4,820.701,43734.7,45376.1
49000,47166.7,45481.6,837.76,44643.8,46319.3
50000,48118.3,46375.5,809.69,45565.8,47185.2
51000,49074.3,47258.9,914.079,46344.8,48173
52000,50026.7,48217.1,1021.55,47195.6,49238.6
53000,50979.9,49130.5,1096.27,48034.3,50226.8
54000,51934.4,50028.2,1147.93,48880.3,51176.2
55000,52887.4,50944.7,1184.65,49760.1,52129.4
56000,53839,51825.3,1158.53,50666.8,52983.8
57000,54792.7,52685.6,1139.25,51546.4,53824.9
58000,55744.6,53576.3,1173.27,52403,54749.5
59000,56700,54567.6,1261.06,53306.5,55828.6
60000,57651.1,55506.4,1305.12,54201.3,56811.6
61000,58600.1,56505.8,1311.96,55193.9,57817.8
62000,59553.5,57410.3,1288.47,56121.8,58698.7
63000,60504.8,58229.2,1313.95,56915.2,59543.1
64000,61457.9,59140.8,1220.99,57919.8,60361.8
65000,62408,59987.4,1225.62,58761.8,61213.1
66000,63357.9,60858.7,1181.17,59677.6,62039.9
67000,64309,61812.1,1291.8,60520.3,63103.9
68000,65260.8,62694,1324.26,61369.7,64018.3
69000,66210.3,63592.8,1370.99,62221.8,64963.8
70000,67161.5,64452.3,1397.7,63054.6,65850
71000,68113.5,65348.6,1375.36,63973.2,66723.9
72000,69062.1,66240.4,1377.64,64862.8,67618
73000,70011.3,67096.4,1266.24,65830.2,68362.7
74000,70959.5,68017.2,1234.57,66782.7,69251.8
75000,71912.9,68873.5,1228.3,67645.2,70101.8
76000,72863.8,69739.3,1256,68483.3,70995.3
77000,73813.3,70704.1,1189.61,69514.5,71893.7
78000,74762.4,71712.8,1136.75,70576.1,72849.6
79000,75710.2,72645.7,1151.24,71494.5,73797
80000,76662.7,73503.2,1088.06,72415.1,74591.2
81000,77614.8,74395.6,1208.31,73187.3,75603.9
82000,78567.5,75357.2,1300.77,74056.5,76658
83000,79517.2,76235.2,1277.06,74958.1,77512.2
84000,80465.7,77074.7,1227.36,75847.3,78302.1
85000,81412.7,77958.8,1101.21,76857.6,79060.1
86000,82365.4,78903.4,1174.57,77728.9,80078
87000,83313.3,79867.8,1253.22,78614.6,81121
88000,84259.5,80889.1,1211.03,79678.1,82100.2
89000,85208,81766.8,1158.12,80608.6,82924.9
90000,86161.1,82577.2,1208.23,81369,83785.4
91000,87112,83620.8,1179.11,82441.7,84799.9
92000,88061.8,84652.7,1265.96,83386.7,85918.6
93000,89010.2,85614.9,1295.59,84319.3,86910.5
94000,89958.1,86496.2,1333.93,85162.3,87830.1
95000,90906.5,87419.1,1245.11,86174,88664.2
96000,91857.9,88230.7,1319.11,86911.6,89549.8
97000,92805.2,89117.7,1350.51,87767.2,90468.2
98000,93752.8,89969.8,1247.59,88722.3,91217.4
99000,94704.6,90856.7,1307.07,89549.7,92163.8
100000,95648.1,91828.9,1367.54,90461.4,93196.5
